id;id_givts;name
712;1711;Саратовский государственный медицинский университет имени В.И. Разумовского  Министерства здравоохранения Российской Федерации
717;120111;Московский политехнический университет
720;1560;Тихоокеанский государственный медицинский  университет Министерства здравоохранения Российской Федерации
721;1694;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный институт культуры"""
722;1590;Санкт-Петербургский государственный химико-фармацевтический университет Министерства здравоохранения Российской Федерации
724;1704;Хабаровский государственный институт культуры
727;1696;Самарский государственный институт культуры
728;1736;Мичуринский государственный аграрный университет
729;1737;Восточно-Сибирский государственный институт культуры
730;1671;Донской государственный аграрный университет
731;1663;Краснодарский государственный институт культуры
732;1656;Петрозаводская государственная консерватория имени А.К. Глазунова
733;1780;Сибирский государственный институт искусств имени Дмитрия Хворостовского
734;1644;Российская государственная специализированная академия искусств
735;1778;Нижегородская государственная сельскохозяйственная академия
737;1745;Орловский государственный аграрный университет имени Н.В. Парахина
738;1652;Нижегородская государственная консерватория им. М.И. Глинки
739;1674;Курская государственная сельскохозяйственная академия имени И.И. Иванова
740;1698;Казанская государственная консерватория имени Н.Г. Жиганова
742;1730;Саратовская государственная консерватория имени Л.В. Собинова
743;1556;Театральный институт имени Бориса Щукина при Государственном академическом театре имени Евгения Вахтангова
744;118;федеральное государственное бюджетное образовательное учреждение высшего образования «Литературный институт имени А.М. Горького»
746;1680;Тюменский государственный институт культуры
747;1668;Высшее театральное училище (институт) им.М.С.Щепкина при Государственном академическом Малом театре России
748;1729;Государственный музыкально-педагогический институт имени М.М. Ипполитова-Иванова
749;1720;Санкт-Петербургский государственный институт культуры
750;1647;Московская государственная консерватория имени П.И.Чайковского
751;1806;Московский государственный академический художественный институт  имени В.И. Сурикова при Российской академии художеств
752;1651;Академия хорового искусства имени В.С. Попова
754;1812;Санкт-Петербургская академия художеств имени Ильи Репина
755;1695;Приморская государственная сельскохозяйственная академия
756;1774;Челябинский государственный институт культуры
757;1703;Уфимский государственный институт искусств имени Загира Исмагилова
758;1751;Дальневосточный государственный аграрный университет
759;1688;Алтайский государственный институт культуры
760;1657;Ярославский государственный театральный институт
761;1655;Астраханская государственная консерватория
762;1800;Дальневосточный государственный институт искусств
763;1653;Воронежский государственный институт искусств
764;1738;Санкт-Петербургский государственный институт кино и телевидения
765;1659;Московская государственная академия хореографии
766;1686;Бурятская государственная сельскохозяйственная академия имени В.Р.Филиппова
767;1776;Пермский государственный институт культуры
771;1672;Вологодская государственная молочнохозяйственная академия имени Н.В. Верещагина
772;1723;Всероссийский государственный институт кинематографии имени С.А. Герасимова
774;1648;Санкт-Петербургская государственная консерватория имени Н.А.Римского-Корсакова
775;1791;Школа-студия (институт) имени Вл.И.Немировича-Данченко при Московском Художественном академическом театре имени А.П. Чехова
776;1722;Российский государственный институт сценических искусств
778;1642;Ставропольский государственный аграрный университет
779;1713;Государственный аграрный университет Северного Зауралья
780;1727;Санкт-Петербургский государственный аграрный университет
781;1700;Новосибирская государственная консерватория имени М.И. Глинки
782;1636;Горский государственный аграрный университет
786;1658;Кабардино-Балкарский государственный аграрный университет имени В.М. Кокова
788;1792;Первый Московский государственный медицинский университет имени И.М. Сеченова Министерства здравоохранения Российской Федерации (Сеченовский Университет)
790;1682;Алтайский государственный аграрный университет
793;1772;Брянский государственный аграрный университет
795;1650;Воронежский государственный аграрный университет имени императора Петра I
799;1632;Пензенский государственный аграрный университет
804;1683;Ижевская государственная сельскохозяйственная академия
812;1643;Ульяновский государственный аграрный университет имени П.А. Столыпина
831;1669;Ярославская государственная сельскохозяйственная академия
901;1823;Московский гуманитарный институт
902;1849;Восточная экономико-юридическая гуманитарная академия
903;110254;Институт управления и права
904;110221;Институт иностранных языков
905;110231;Институт мировой экономики и финансов
907;1639;Государственный университет по землеустройству
908;2078;Российская экономическая школа
909;1850;Институт правоведения и предпринимательства
910;1932;Южно-Российский гуманитарный институт
911;1868;Московский социально-экономический институт
912;1706;Российский государственный аграрный заочный университет
913;2005;Прикамский социальный институт
914;2089;Еврейский университет
915;110148;Академия труда и социальных отношений
916;110420;Уральский институт фондового рынка
917;2025;Сибирский университет потребительской кооперации
918;1975;Тульский институт управления и бизнеса имени Никиты Демидовича Демидова
919;1760;Ульяновский институт гражданской авиации имени Главного маршала авиации Б.П. Бугаева
920;1860;Институт непрерывного образования
921;110341;Национальный институт бизнеса
922;1697;Волгоградский государственный аграрный университет
923;1943;Московский университет имени С.Ю. Витте
924;120119;Московский инновационный университет
925;1953;Медицинский университет «Реавиз»
926;110346;Невинномысский институт экономики, управления и права
927;1752;Уральский государственный университет физической культуры
928;1991;Восточно-Сибирский институт экономики и права
929;1714;Санкт-Петербургский государственный университет ветеринарной медицины
930;666667486;Подольский социально-спортивный институт
932;110412;Тамбовский государственный музыкально-педагогический институт им. С.В.Рахманинова
933;2033;Московский открытый институт
934;2096;Институт государственного администрирования
935;1959;Санкт-Петербургский университет технологий управления и экономики
937;1847;Белгородский университет кооперации, экономики и права
938;1758;Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации
939;1819;Самарская гуманитарная академия
941;1881;Московский институт экономики, политики и права
942;110297;Международный инновационный университет
944;1934;Армавирский социально-психологический институт
945;110373;Международный институт дизайна и сервиса
946;1753;Волгоградская государственная академия физической культуры
948;1788;Московская государственная академия ветеринарной медицины и биотехнологии – МВА имени К.И. Скрябина
949;1892;Институт управления, бизнеса и технологий
950;1833;Современный технический университет
951;1946;Московский институт психоанализа
953;1763;Сибирский государственный университет водного транспорта
954;1665;Дагестанский государственный аграрный университет имени М.М.Джамбулатова
955;1631;Костромская государственная сельскохозяйственная академия
959;1569;Российская таможенная академия
960;1928;Тольяттинская академия управления
961;1845;Российский университет кооперации
964;1873;Региональный институт бизнеса и управления
966;1872;Омский региональный институт
972;1807;Российская академия живописи, ваяния и зодчества Ильи Глазунова
975;100345;Исследовательский центр частного права имени С.С. Алексеева при Президенте Российской Федерации
985;1846;Российский новый университет
989;110432;Экономико-энергетический институт
997;2053;Институт международных экономических связей
1004;1913;Гуманитарный университет
1005;1664;Пермский государственный аграрно-технологический университет имени академика Д.Н. Прянишникова
1008;110899;Российская академия предпринимательства
1012;1641;Красноярский государственный аграрный университет
1013;2007;Сибирский институт международных отношений и регионоведения
1022;111037;Свято-Филаретовский православно-христианский институт
1051;1891;Северный институт предпринимательства
1058;1660;Великолукская государственная сельскохозяйственная академия
1063;110271;Институт экономики и управления в промышленности
1074;1983;Смольный институт Российской академии образования
1077;1861;Российская международная академия туризма
1078;110324;Московский институт современного академического образования
1079;1976;Международный институт менеджмента ЛИНК
1102;1885;Социально-правовой институт экономической безопасности
1123;1701;Башкирский государственный аграрный университет
1134;110318;Московский гуманитарно-экономический университет
1149;2063;Санкт-Петербургский институт экономики и управления
1152;110243;Институт современного искусства
1175;2036;Новый гуманитарный институт
1192;1702;Оренбургский государственный аграрный университет
1202;110187;Гуманитарный институт имени П.А. Столыпина
1212;110216;Институт деловой карьеры
1220;110218;Институт Журналистики и Литературного Творчества
1223;1717;Российский институт театрального искусства - ГИТИС
1232;1687;Южно-Уральский государственный аграрный университет
1255;2027;Московская международная академия
1256;1988;Владикавказский институт управления
1261;2085;Московская гуманитарно-техническая академия
1268;1685;Самарский государственный аграрный университет
1281;110429;Челябинский Многопрофильный Институт
1300;2072;Среднерусский гуманитарно-технологический институт
1301;1710;Тверская государственная сельскохозяйственная академия
1306;110229;Институт международной торговли и права
1307;2064;Калининградский институт управления
1308;1973;Московский экономический институт
1310;1840;Российский православный университет святого Иоанна Богослова
1324;1675;Белгородский государственный аграрный университет имени В.Я. Горина
1326;1916;Сибирская академия финансов и банковского дела
1349;110319;Московский Гуманитарный Университет
1359;1649;Новосибирский государственный аграрный университет
1364;1871;Институт экономики и правоведения (г. Назрань)
1368;111233;Волгоградский гуманитарный институт
1370;1768;Государственный морской университет имени адмирала Ф.Ф.Ушакова
1373;110382;Санкт-Петербургский институт гостеприимства
1376;1712;Северо-Кавказский государственный институт искусств
1379;1948;Южный институт менеджмента
1383;1855;Армавирский гуманитарно-социальный институт
1386;2082;Институт управления
1387;1867;Институт менеджмента, маркетинга и финансов
1388;110183;Гуманитарно-социальный институт
1401;1958;Сибирский юридический университет
1411;1640;Российский государственный аграрный университет - МСХА имени К.А. Тимирязева
1413;2060;Межрегиональный открытый социальный институт
1420;1848;Университет управления «ТИСБИ»
1421;2009;Армавирский лингвистический социальный институт
1425;1996;Международный институт компьютерных технологий
1431;110389;Северо-Кавказский социальный институт
1434;1835;Православный Свято-Тихоновский гуманитарный университет
1435;1673;Кемеровский государственный институт культуры
1436;110822;Восточно-Сибирский институт экономики и менеджмента
1443;1944;Национальный институт дизайна
1447;1903;Волжский университет имени В.Н. Татищева (институт)
1450;110170;Воронежский экономико-правовой институт
1452;110134;Мордовский гуманитарный институт
1454;110194;Дальневосточный институт международных отношений
1455;110275;Северо-Кавказская академия управления
1458;1709;Морской государственный университет имени адмирала Г.И. Невельского
1470;2071;Региональный финансово-экономический институт
1472;1794;Ростовская государственная консерватория им. С. В. Рахманинова
1477;1982;Институт театрального искусства  им. П.М. Ершова
1479;1837;Московская академия экономики и права
1496;1979;Сахалинский гуманитарно-технологический институт
1499;1689;Чувашский государственный аграрный университет
1500;1783;Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации
1508;1896;Институт мировых цивилизаций
1527;1676;Уральская государственная консерватория имени М.П. Мусоргского
1554;2084;Московский международный университет
1589;1938;Институт кино и телевидения (ГИТР)
1710;1887;Дагестанский гуманитарный институт
1796;0;Институт проблем проектирования в микроэлектронике Российской академии наук
2065;0;Институт металлургии и материаловедения им. А.А. Байкова Российской академии наук
2104;0;Федеральное государственное унитарное предприятие «Троицкое»
2149;0;Федеральное государственное бюджетное учреждение науки Ордена Трудового Красного Знамени Институт солнечно-земной физики Сибирского отделения Российской академии наук
2172;1818;Международный институт управления и права
2177;110338;Мурманская академия экономики и управления
2184;666666786;Открытый университет экономики, управления и права
2189;110186;Академия управления и производства
